ID,Date,PrimaryType,Description,LocationDescription,Arrest,Domestic,CommunityArea,Year
12912209,12/4/2022 14:30,Theft,Retail Theft,Small Retail Store,FALSE,FALSE,6,2022
12928155,12/20/2022 2:30,Burglary,Forcible Entry,Bar Or Tavern,FALSE,FALSE,1,2022
12920188,12/11/2022 0:00,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,20,2022
12928942,12/20/2022 17:15,Theft,Over $500,Restaurant,FALSE,FALSE,24,2022
12930057,12/21/2022 21:30,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,24,2022
12901149,11/22/2022 23:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,43,2022
12913075,12/5/2022 12:22,Battery,Domestic Battery Simple,Apartment,FALSE,TRUE,52,2022
12935880,12/22/2022 0:00,Burglary,Unlawful Entry,Apartment,FALSE,FALSE,71,2022
12933738,12/21/2022 15:00,Criminal Damage,To Vehicle,Street,FALSE,FALSE,61,2022
12920133,12/8/2022 5:30,Battery,Aggravated - Other Dangerous Weapon,Residence,FALSE,FALSE,61,2022
12925383,12/17/2022 4:43,Criminal Damage,To Property,Apartment,FALSE,FALSE,21,2022
12891695,11/13/2022 7:00,Battery,Simple,Apartment,FALSE,FALSE,53,2022
12914726,12/6/2022 21:45,Battery,Domestic Battery Simple,Park Property,FALSE,TRUE,66,2022
12897226,11/17/2022 20:30,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,22,2022
12903827,11/25/2022 13:30,Criminal Trespass,To Residence,Apartment,FALSE,FALSE,43,2022
12920692,12/12/2022 11:00,Motor Vehicle Theft,Automobile,Parking Lot / Garage (Non Residential),FALSE,FALSE,45,2022
12919535,12/11/2022 14:50,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,68,2022
12910004,12/2/2022 7:30,Robbery,Armed - Handgun,Alley,FALSE,FALSE,71,2022
12909241,11/23/2022 12:00,Deceptive Practice,Counterfeit Check,Street,FALSE,FALSE,25,2022
12895068,11/16/2022 8:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,24,2022
12919242,12/10/2022 17:00,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,22,2022
12915286,12/7/2022 10:45,Criminal Damage,To Vehicle,Street,FALSE,FALSE,10,2022
12927453,12/19/2022 12:35,Theft,Retail Theft,Small Retail Store,FALSE,FALSE,7,2022
12932773,12/26/2022 1:40,Robbery,Attempt Armed - Handgun,Street,FALSE,FALSE,41,2022
12923207,12/14/2022 20:38,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,26,2022
12915551,12/7/2022 17:13,Other Offense,Telephone Threat,Nursing / Retirement Home,FALSE,FALSE,69,2022
12907105,11/28/2022 18:59,Theft,Retail Theft,Small Retail Store,FALSE,FALSE,8,2022
12891765,11/13/2022 15:30,Criminal Damage,To Vehicle,Street,FALSE,FALSE,43,2022
12899106,11/20/2022 20:30,Theft,Over $500,Street,FALSE,FALSE,4,2022
12919836,11/23/2022 13:00,Theft,Over $500,Apartment,FALSE,FALSE,24,2022
12905608,11/28/2022 5:08,Battery,Aggravated - Other Dangerous Weapon,Street,FALSE,FALSE,46,2022
12902298,11/24/2022 0:01,Theft,Over $500,Residence - Garage,FALSE,FALSE,64,2022
12921510,12/13/2022 9:29,Assault,Simple,Apartment,FALSE,FALSE,21,2022
12902719,11/24/2022 20:56,Battery,Simple,Apartment,FALSE,FALSE,19,2022
12950498,12/3/2022 2:26,Deceptive Practice,Financial Identity Theft $300 And Under,Nan,FALSE,FALSE,5,2022
12976044,12/7/2022 13:00,Deceptive Practice,Financial Identity Theft Over $ 300,Nan,FALSE,FALSE,9,2022
12891618,11/12/2022 21:35,Assault,Aggravated - Handgun,Residence,FALSE,TRUE,20,2022
12920054,12/11/2022 22:42,Battery,Aggravated Police Officer - Other Dangerous Weapon,Street,TRUE,FALSE,59,2022
12920989,12/9/2022 11:00,Theft,Over $500,Vehicle Non-Commercial,FALSE,FALSE,15,2022
12928226,12/19/2022 5:15,Assault,Simple,Residence,FALSE,FALSE,51,2022
12977766,11/28/2022 0:00,Deceptive Practice,Financial Identity Theft $300 And Under,Police Facility / Vehicle Parking Lot,FALSE,FALSE,27,2022
12921345,12/12/2022 14:00,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,25,2022
12931970,12/24/2022 17:40,Criminal Damage,To Vehicle,Street,FALSE,FALSE,25,2022
12929118,12/21/2022 4:23,Assault,Aggravated - Handgun,Street,FALSE,FALSE,63,2022
12895723,11/14/2022 13:45,Battery,Simple,Residence,FALSE,FALSE,49,2022
12923933,12/15/2022 8:45,Criminal Damage,To Vehicle,Street,FALSE,FALSE,29,2022
12925856,12/17/2022 18:30,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,33,2022
12898574,11/19/2022 12:00,Assault,Aggravated - Other Dangerous Weapon,Apartment,FALSE,TRUE,68,2022
12927961,12/18/2022 8:00,Burglary,Unlawful Entry,Apartment,FALSE,FALSE,8,2022
12957369,11/25/2022 0:00,Deceptive Practice,Financial Identity Theft Over $ 300,Residence,FALSE,FALSE,53,2022
12909923,12/2/2022 1:45,Battery,Simple,Street,FALSE,FALSE,23,2022
12920366,12/12/2022 8:10,Criminal Damage,To Property,Commercial / Business Office,FALSE,FALSE,34,2022
12895551,11/16/2022 20:35,Assault,Simple,Residence,FALSE,TRUE,49,2022
12894005,11/15/2022 9:50,Other Offense,Telephone Threat,Apartment,FALSE,TRUE,27,2022
12903328,11/25/2022 16:00,Battery,Domestic Battery Simple,Residence,TRUE,TRUE,58,2022
12897031,11/17/2022 17:00,Theft,Over $500,Street,FALSE,FALSE,28,2022
12935589,12/29/2022 5:40,Motor Vehicle Theft,Attempt - Automobile,Street,FALSE,FALSE,43,2022
12937611,12/30/2022 23:45,Theft,Over $500,Street,FALSE,FALSE,41,2022
12923429,12/13/2022 20:00,Theft,Over $500,Street,FALSE,FALSE,44,2022
12920525,12/11/2022 13:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,27,2022
12930229,12/17/2022 12:21,Battery,Domestic Battery Simple,Residence,FALSE,TRUE,54,2022
12906034,11/26/2022 22:40,Battery,Domestic Battery Simple,Street,FALSE,TRUE,73,2022
12928389,12/16/2022 13:00,Battery,Simple,School - Public Grounds,FALSE,FALSE,25,2022
12904034,11/26/2022 2:02,Criminal Damage,Criminal Defacement,Government Building / Property,FALSE,FALSE,8,2022
12936741,12/30/2022 3:40,Theft,Over $500,Street,FALSE,FALSE,6,2022
12927668,12/12/2022 14:58,Assault,Aggravated - Handgun,Convenience Store,FALSE,FALSE,39,2022
12915591,12/7/2022 17:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,73,2022
12912660,12/5/2022 4:05,Criminal Damage,To Property,Cta Parking Lot / Garage / Other Property,FALSE,FALSE,56,2022
12921491,12/12/2022 18:00,Theft,$500 And Under,Street,FALSE,FALSE,12,2022
12893976,11/15/2022 15:51,Assault,Simple,Alley,FALSE,FALSE,38,2022
12892814,11/13/2022 22:00,Motor Vehicle Theft,Automobile,Street,FALSE,FALSE,59,2022
12931198,12/23/2022 10:15,Assault,Simple,Street,FALSE,FALSE,71,2022
12934453,12/28/2022 0:25,Weapons Violation,Unlawful Use - Other Firearm,Alley,FALSE,FALSE,46,2022
